Name_MOF_CoRE_1272,PLD_angstrom,LCD_angstrom,unit_cell_volume_angstrom3,void_fraction,,Henry's constant: mol/(m^3 Pa),,D0 in a: m^2/s,D0 in b: m^2/s,D0 in c: m^2/s
acs.inorgchem.6b00894_ic6b00894_si_002_clean,4.19294,5.54464,8337.22,0.49218,,2.225550517,,0,0,2.33E-08
acs.inorgchem.6b00894_ic6b00894_si_003_clean,2.62565,4.80851,7471.16,0.43652,,1.217353074,,4.30E-26,0,0
acs.inorgchem.6b00971_ic6b00971_si_002_clean,6.72001,8.10599,16240.1,0.68078,,0.006683616,,2.26E-07,8.21E-08,2.45E-07
acs.inorgchem.6b00971_ic6b00971_si_003_clean,6.75327,8.12182,16355.9,0.68768,,0.006695809,,2.00E-07,1.62E-16,1.44E-19
acs.inorgchem.6b01060_ic6b01060_si_003_clean,3.44312,3.95318,615.708,0.48258,,0.374582753,,2.98E-08,8.36E-25,9.61E-232
acs.inorgchem.6b01060_ic6b01060_si_004_clean,3.09174,4.43414,2426.08,0.60122,,0.489973658,,6.70E-11,3.37E-12,4.46E-08
acs.inorgchem.6b01168_ic6b01168_si_002_clean,2.38679,3.94505,1744.51,0.48478,,1.015948334,,0,3.11E-18,0
acs.inorgchem.6b01168_ic6b01168_si_003_clean,4.92098,6.53701,8858.5,0.5987,,0.31915671,,0,1.62E-08,1.14E-07
acs.inorgchem.6b01199_ic6b01199_si_002_clean,2.67533,3.68012,10538.3,0.3614,,3.914653243,,0,0,0
acs.inorgchem.6b01199_ic6b01199_si_003_clean,2.82924,3.64824,2110.37,0.36644,,5.66060014,,0,3.72E-11,0
acs.inorgchem.6b01211_ic6b01211_si_002_clean,4.15443,9.25567,11506,0.6852,,0.739942267,,0,0,3.11E-09
acs.inorgchem.6b01231_ic6b01231_si_002_clean,5.64875,7.68261,9335.04,0.65166,,0.111065571,,0,0,4.94E-12
acs.inorgchem.6b01231_ic6b01231_si_003_clean,5.73722,7.66442,9335.04,0.65346,,0.119137409,,0,0,3.47E-13
acs.inorgchem.6b01416_ic6b01416_si_001_clean,5.59566,7.33501,6097.73,0.72502,,0.168676587,,3.98E-29,3.36E-09,4.27E-09
acs.inorgchem.6b01416_ic6b01416_si_002_clean,5.99462,6.23322,6484.48,0.61718,,1.439982931,,0,0,4.60E-11
acs.inorgchem.6b01416_ic6b01416_si_004_clean,3.22827,6.64288,8561.16,0.50186,,1.396343976,,0,2.95E-08,3.53E-08
acs.inorgchem.6b01569_ic6b01569_si_002_clean,5.07941,6.12547,4570.6,0.46974,,0.137844912,,0,0,1.04E-08
acs.inorgchem.6b01713_ic6b01713_si_002_clean,3.94083,5.64488,2546.36,0.50724,,8.829466302,,0,5.79E-08,9.64E-09
acs.inorgchem.6b01740_ic6b01740_si_002_clean,8.02887,15.64652,49807.6,0.78862,,0.068910612,,0,0,0
acs.inorgchem.6b01762_ic6b01762_si_002_clean,8.44791,11.32794,23358.1,0.63348,,0.015082214,,0,0,0
acs.inorgchem.6b01836_ic6b01836_si_002_clean,3.64734,4.45256,1898.71,0.66958,,0.755622544,,4.04E-54,7.73E-15,3.83E-08
acs.inorgchem.6b01845_ic6b01845_si_003_clean,4.84611,6.48743,5160.84,0.63482,,0.078597229,,1.85E-08,1.65E-17,9.66E-08
acs.inorgchem.6b01845_ic6b01845_si_007_clean,3.44529,7.8384,35181.2,0.55066,,0.42809478,,0,0,0
acs.inorgchem.6b01936_ic6b01936_si_002_clean,2.41046,4.82689,6212.74,0.34512,,1.496652006,,0,0,9.80E-28
acs.inorgchem.6b02007_delta-Ru_phen_2_2_PF6_2_clean,2.2292,4.98479,7628.6,0.46244,,4.659121933,,0,0,0
acs.inorgchem.6b02007_delta-Ru_phen_2_4_PF6_2_clean,3.84366,5.05873,5028.84,0.51538,,2.465934361,,9.36E-09,2.37E-17,1.70E-305
acs.inorgchem.6b02007_Ru-Cd_clean,4.97686,7.70681,7703.42,0.64856,,0.441388251,,0,1.35E-11,0
acs.inorgchem.6b02007_Ru_phen_2_1_PF6_2_clean,3.84858,5.51557,8260.71,0.51842,,2.141397289,,0,0,4.24E-08
acs.inorgchem.6b02007_Ru_phen_2_2_PF6_2_clean,2.6899,4.71902,7716.47,0.46368,,9.712341665,,0,0,0
acs.inorgchem.6b02007_Ru_phen_2_3_PF6_2_clean,3.46431,4.45702,4073.76,0.46662,,2.623825192,,7.53E-45,0,0
acs.inorgchem.6b02007_Ru_phen_2_4_PF6_2_clean,2.45874,4.47503,2427.06,0.49158,,4.535799938,,0,0,3.02E-17
acs.inorgchem.6b02007_Ru_phen_2_5_PF6_2_clean,3.76488,5.20391,2401.79,0.52556,,5.47311064,,0,0,8.59E-125
acs.inorgchem.6b02160_ic6b02160_si_002_clean,4.16838,6.64581,20780,0.56468,,0.287012474,,0,0,0
acs.inorgchem.6b02332_ic6b02332_si_002_clean,5.62846,6.69208,3117.27,0.47136,,0.663081451,,1.42E-08,0,0
acs.inorgchem.6b02332_ic6b02332_si_003_clean,4.61244,6.40987,3119.33,0.44706,,0.934985229,,1.74E-08,0,0
acs.inorgchem.6b02349_ic6b02349_si_002_clean,4.29103,5.05046,1493.54,0.4703,,2.208938546,,1.15E-08,0,0
acs.inorgchem.6b02383_ic6b02383_si_001_clean,2.61862,3.51812,650.152,0.50984,,1.528455741,,7.97E-19,1.44E-72,9.61E-79
acs.inorgchem.6b02407_ic6b02407_si_002_clean,3.6527,6.27317,3087.39,0.61042,,0.902454991,,0,0,4.88E-08
acs.inorgchem.6b02407_ic6b02407_si_003_clean,3.98661,6.13961,5288.15,0.55228,,2.032832959,,0,4.86E-08,4.30E-08
acs.inorgchem.6b02413_ic6b02413_si_002_clean,6.55563,12.98619,20901.4,0.7288,,0.113929158,,3.66E-08,3.58E-08,3.66E-08
acs.inorgchem.6b02514_ic6b02514_si_002_clean,4.95173,5.94634,2156.81,0.5443,,0.157396447,,1.33E-08,0,0
acs.inorgchem.6b02696_ic6b02696_si_002_clean,4.87588,12.08537,70922,0.67324,,0.28207879,,0,0,0
acs.jchemed.6b00258_ed6b00258_si_005_clean,2.92394,4.15836,2488.94,0.40498,,0.87491354,,0,0,5.06E-11
acs.jpcc.6b04690_jp6b04690_si_004_clean,3.11104,6.27094,13683.1,0.41176,,63.83799433,,0,0,0
acs.jpcc.6b04690_jp6b04690_si_005_clean,4.42723,6.98849,8209.65,0.4628,,64.18546418,,0,0,1.12E-11
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,4.00792,8.10637,4598.67,0.58316,,0.520094265,,1.35E-08,1.34E-08,0
acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,7.71908,14.65159,14439.8,0.81018,,0.023264843,,0,3.95E-08,0
acsnano.6b03030_nn6b03030_si_001_clean,3.13419,4.11654,1511.79,0.38294,,1.388898258,,0,0,4.09E-08
ACUBAB_clean,4.21434,6.39806,1622.68,0.50898,,0.181345417,,7.83E-08,1.10E-07,9.16E-273
ACUFEK_clean,8.61783,15.16514,25346.3,0.76952,,0.077610114,,0,1.32E-07,0
ACUJOZ_manual,7.94817,11.52454,40086.5,0.726,,0.087910643,,0,0,0
ACUTOI_clean,4.09204,4.59211,3357.19,0.41236,,0.675778707,,9.16E-08,0,0
ADABIS_clean,2.66233,3.6846,1103.94,0.35032,,8.681823622,,0,0,5.10E-92
ADABUE_clean,2.92393,4.15835,1244.47,0.41268,,1.036981071,,0,0,3.51E-32
ADARAA_clean,4.89981,12.23077,58433.7,0.68722,,0.284327714,,0,0,0
ADASAB_charged,13.09901,22.75777,65324.1,0.86234,,0.017481098,,0,0,0
ADASEF_clean,10.72984,17.46364,40224.7,0.8393,,0.057367801,,0,0,0
ADASIJ_clean,6.56913,18.29376,17841.8,0.75414,,0.10267599,,4.12E-08,0,0
ADASOP_clean,6.48033,18.22938,17890.7,0.75866,,0.130120911,,1.53E-07,1.26E-07,0
ADASUV_clean,6.70515,16.94331,17989.1,0.7536,,0.092557891,,0,0,0
ADATAC_clean,9.98064,16.38662,45807.9,0.85926,,0.045439854,,0,0,0
ADATEG_manual,12.94791,26.94669,80721.6,0.8849,,0.014617421,,0,0,0
ADATIK_clean,11.78313,17.71102,50948.1,0.85936,,0.037124122,,0,0,3.97E-08
ADATOQ_clean,8.79774,10.19543,16952,0.70784,,0.190471082,,0,0,0
ADATUW_clean,8.65599,10.01313,16726.1,0.69626,,0.179038561,,0,0,0
ADAVAE_clean,8.55111,9.86118,16350.3,0.69556,,0.238872581,,1.68E-09,1.67E-09,1.64E-09
ADAVEI_clean,8.46814,9.7978,16327.1,0.69858,,0.239168917,,1.27E-09,1.25E-09,1.28E-09
ADAVIM_clean,8.68064,9.99211,16742.6,0.70606,,0.158326769,,0,0,0
ADAXEK_clean,3.88866,5.7208,833.647,0.47904,,3.553533799,,0,2.20E-08,0
ADAXIO_clean,4.76671,5.54755,3289.83,0.47042,,1.055905314,,0,0,0
ADEGIA01_clean,2.64287,4.63178,836.632,0.48792,,2.383422287,,0,5.17E-54,0
ADEGIA_clean,2.59391,4.78588,839.092,0.49414,,2.282943366,,0,2.57E-21,0
ADIQEL_clean,3.12207,4.43967,953.188,0.44736,,25.88615755,,3.71E-08,0,0
ADOBAX_charged,3.69063,5.47482,4446.68,0.46054,,0.839433017,,8.52E-08,3.15E-26,2.15E-26
ADOBEB_charged,3.69279,5.41278,4446.68,0.46054,,0.837718467,,8.27E-08,5.05E-26,4.51E-26
ADOBIF_clean,3.75263,5.49942,4259.51,0.52298,,1.2164004,,1.42E-09,1.57E-09,1.32E-07
ADOBOL_charged,3.77231,5.34284,4259.51,0.44368,,0.884821161,,9.10E-08,1.38E-55,4.87E-55
ADOBUR_charged,3.78694,5.23068,4265.55,0.44624,,0.978982806,,9.82E-08,6.51E-54,4.76E-53
ADOCEC_clean,3.7594,5.27678,4267.91,0.52578,,0.944861055,,4.66E-09,4.64E-09,1.07E-07
ADODAA_charged,4.79237,9.70276,6865.58,0.65564,,0.11938375,,0,4.24E-10,4.33E-10
ADODII_clean,4.89147,5.35991,1701.58,0.50614,,0.886611019,,7.87E-08,1.08E-20,0
ADODOO_clean,4.94016,5.38826,1640.99,0.49308,,1.07248936,,6.89E-08,2.52E-34,0
ADODUU_clean,4.92228,5.35212,1623.93,0.48702,,1.177419417,,6.97E-08,1.89E-39,0
ADOGEH_clean,4.86537,12.47676,18261.3,0.65918,,5.045827689,,0,0,0
ADUROI_clean,17.01362,25.5932,92807.7,0.83036,,0.020322273,,0,0,0
ADUWIH_clean,6.36194,8.39658,10752.9,0.69124,,0.16405641,,1.44E-08,1.89E-08,1.39E-08
ADUWON_clean,5.54275,16.31638,27037.8,0.75696,,0.104906804,,2.40E-07,2.37E-07,2.58E-07
AFEDIA_clean,2.27817,3.05885,1470.65,0.34304,,0.07257485,,0,0,0
AFEJOK_ion_b,4.90622,5.71708,1882.85,0.55614,,0.423483621,,0,4.63E-13,2.42E-12
AFEKAX_clean,6.8145,7.80069,982.628,0.59952,,24.35850661,,1.70E-36,1.57E-36,9.02E-09
AFENEE_clean,3.02468,4.10233,1989.98,0.43674,,3.518547991,,4.22E-09,2.24E-09,0
AFIPAH_clean,3.4318,4.32613,1072.69,0.49222,,0.524244155,,5.00E-34,2.74E-34,0
AFITEP_clean,3.80195,4.15581,1508.89,0.49604,,3.739093121,,3.67E-08,0,0
AFITUF_clean,4.61,6.79788,8518.44,0.516,,0.696946661,,0,0,0
